ev_workplace_charging,CHADEMO,J1772,J1772COMBO,NEMA515,NEMA520,TESLA,status_code_E,status_code_P,status_code_T,access_code_cleaned,ev_network_encoded,longitude,latitude,station_region_encoded,station_subregion_encoded,access_hours,ev_level2_evse_num
1.0,0,1,0,0,0,0,1,0,0,0,92,0.3251909917874798,0.6126273032222684,0.01887871853546911,0.024458032240133407,0.0,0.047337278106508875
0.0,0,1,0,0,0,0,1,0,0,1,92,0.4470060830961984,0.7340851569303695,0.019450800915331808,0.025013896609227346,0.7083333333333333,0.01775147928994083
0.0,0,1,0,0,0,0,1,0,0,1,92,0.4716908766009169,0.5781759835823266,0.018306636155606407,0.02556976097832129,0.0,0.008875739644970414
1.0,0,1,0,0,0,0,1,0,0,0,92,0.497603496690715,0.5761907640725923,0.02002288329519451,0.026125625347415228,0.0,0.023668639053254437
0.0,0,1,0,0,0,0,1,0,0,0,92,0.26986407984605876,0.5257269743130664,0.006864988558352403,0.02668148971650917,0.0,0.023668639053254437
0.0,1,1,1,0,0,0,1,0,0,1,92,0.24252015764992052,0.8011737707109106,0.0005720823798627002,0.027237354085603113,1.0,0.04142011834319526
0.0,1,0,0,0,0,0,1,0,0,1,92,0.47784370738872894,0.5839845888144737,0.0005720823798627002,0.027793218454697052,1.0,0.0
0.0,0,1,0,0,0,0,1,0,0,1,34,0.5016418756109431,0.3656643622870277,0.020594965675057208,0.028349082823790995,1.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,92,0.586168894644743,0.5762316122106554,0.02116704805491991,0.028904947192884934,0.0,0.01775147928994083
1.0,1,1,1,0,0,0,1,0,0,1,92,0.3843109663841915,0.5108206717721302,0.0005720823798627002,0.029460811561978877,1.0,0.047337278106508875
1.0,0,1,0,0,0,0,1,0,0,0,92,0.48454482625504625,0.4081018197028641,0.0005720823798627002,0.030016675931072816,0.0,0.005917159763313609
1.0,0,1,0,0,0,0,1,0,0,0,92,0.22828857660528,0.5471823771328843,0.0005720823798627002,0.030572540300166758,0.0,0.04437869822485207
0.0,0,1,0,0,0,0,1,0,0,1,181,0.2556033597120688,0.5273854087183025,0.021739130434782608,0.0311284046692607,0.6666666666666666,0.005917159763313609
0.0,1,1,1,0,0,0,1,0,0,0,92,0.49540962324900306,0.5721620936757219,0.02231121281464531,0.03168426903835464,0.0,0.2958579881656805
0.0,0,1,0,0,0,0,1,0,0,1,92,0.5003829175201417,0.40214256653752756,0.02288329519450801,0.03224013340744858,1.0,0.0029585798816568047
0.0,0,1,0,0,0,0,1,0,0,1,92,0.2040844535486599,0.6948153909248518,0.02345537757437071,0.032795997776542525,0.20833333333333331,0.01775147928994083
0.0,0,1,0,0,0,0,1,0,0,1,92,0.303543387979488,0.3997741914927957,0.0011441647597254005,0.033351862145636464,1.0,0.08284023668639053
1.0,0,1,0,0,0,0,1,0,0,0,92,0.32091725868411913,0.5398081444651623,0.002860411899313501,0.0044469149527515284,0.0,0.011834319526627219
