access_code,status_code,geocode_status,latitude,longitude,state,ev_level2_evse_num,ev_network,ev_workplace_charging,con_CHADEMO,con_J1772,con_J1772COMBO,con_NEMA520,con_NEMA515,con_TESLA,con_NEMA1450,access_days,access_hours,weekday_access,weekend_access,daily_access,total_weekly_hours,availability_class,is_24_7,primary_use_case,avg_distance_km,area_type,log_avg_distance_km,connector_count,connector_diversity
public,E,GPS,38.355867,-121.9862,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5037757405971738,Urban,0.40797910576435265,1,0.14285714285714285
public,E,200-9,38.351758,-121.994475,CA,7.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5948595165714484,Rural,0.46678565497309543,1,0.14285714285714285
public,E,GPS,38.682605,-121.297614,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.406718160901488,Rural,0.8782640605041866,1,0.14285714285714285
public,E,200-9,38.457369,-121.842567,CA,2.0,Non-Networked,0.0,False,False,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,2.381794957617774,Rural,1.2184066210860616,1,0.14285714285714285
public,E,GPS,38.72799,-120.828,CA,3.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.031996640766246,Rural,0.7090188765486515,1,0.14285714285714285
public,E,GPS,38.6476,-121.067,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.357376627644417,Rural,0.8575494022979684,1,0.14285714285714285
private,E,GPS,38.40553,-121.391,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.37653142058813527,Urban,0.31956687177526577,1,0.14285714285714285
public,E,GPS,38.74453,-121.17,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,14.0,True,False,False,70.0,Medium,0,Commuter,3.3598903961240674,Rural,1.4724469185413112,1,0.14285714285714285
public,E,GPS,38.618066,-121.334337,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,2.94564135905335,Rural,1.3726115162558783,1,0.14285714285714285
public,E,GPS,44.469281,-73.154972,VT,2.0,Non-Networked,0.0,False,False,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.807021923671201,Rural,0.5916801441713566,1,0.14285714285714285
public,E,GPS,38.15485,-121.69,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,14.097253150820427,Rural,2.714512816731456,1,0.14285714285714285
public,E,200-8,38.25281,-122.044229,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.9056215601753305,Rural,0.6448082336687329,1,0.14285714285714285
public,E,GPS,38.23723,-122.123,CA,3.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.8765891777456296,Rural,1.0566052790119138,1,0.14285714285714285
public,E,GPS,33.944761,-118.399767,CA,20.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.678321619191043,Rural,0.5177942578500798,1,0.14285714285714285
public,E,GPS,44.469281,-73.154972,VT,6.0,Non-Networked,1.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Workplace,0.807021923671201,Rural,0.5916801441713566,1,0.14285714285714285
private,E,200-8,34.059047,-118.256812,CA,17.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.32283997925103414,Urban,0.2797809248703569,1,0.14285714285714285
private,E,200-8,34.033898,-118.256673,CA,19.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.5352530146678622,Urban,0.42869519785863835,1,0.14285714285714285
private,E,200-8,34.081998,-118.21713,CA,79.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.6795785623053191,Rural,0.5185429061749524,1,0.14285714285714285
private,E,200-8,33.799476,-118.257977,CA,2.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,1.814994938671002,Rural,1.0349604636046028,1,0.14285714285714285
